1470385052 0 0 0 0 0 731 0 0 0 0 0
1478543046 0 0 1 0 0 731 0 0 0 0 0
1501080391 0 0 3 0 0 731 0 0 0 0 0
1519398564 0 0 3 0 0 731 0 18 0 0 0
1545153525 0 0 3 0 0 731 83 18 0 0 0
1548931250 0 0 3 0 0 731 83 18 0 1 0
1559817214 0 0 3 0 0 731 83 18 0 1 0
1566276890 0 1 3 0 0 731 83 18 0 1 0
1577485602 0 2 3 0 0 731 83 18 0 1 0
1578417455 0 2 3 0 7 731 83 18 0 1 0
1583466272 0 2 3 0 7 731 83 18 3834 1 0
1603429120 0 2 3 0 7 731 83 18 3834 1 1
1615825548 0 2 3 0 7 731 83 18 3834 1 1
1615825903 1 2 3 0 7 731 83 18 3834 1 1
1615826484 2 2 3 0 7 731 83 18 3834 1 1
1615833643 13 2 3 0 7 731 83 18 3834 1 1
1615834059 20 2 3 0 7 731 83 18 3834 1 1
1615834279 22 2 3 0 7 731 83 18 3834 1 1
1615837193 23 2 3 0 7 731 83 18 3834 1 1
