1637083669 1 0 0 0 0 0 0 0 0
1637094944 2 0 0 0 0 0 0 0 0
1637095157 3 0 0 0 0 0 0 0 0
1637095172 4 0 0 0 0 0 0 0 0
1637096362 5 0 0 0 0 0 0 0 0
1637100471 6 0 0 0 0 0 0 0 0
1638231889 7 0 0 0 0 0 0 0 0
1638289475 8 0 0 0 0 0 0 0 0
1638561514 9 0 0 0 0 0 0 0 0
1643139521 9 1 0 0 0 0 0 0 0
1643417994 9 2 0 0 0 0 0 0 0
1643470787 9 3 0 0 0 0 0 0 0
1643838740 9 4 0 0 0 0 0 0 0
1644018990 9 5 0 0 0 0 0 0 0
1644257003 9 6 0 0 0 0 0 0 0
1644338395 9 7 0 0 0 0 0 0 0
1644343136 9 7 1 0 0 0 0 0 0
1644463210 10 7 1 0 0 0 0 0 0
1644464657 11 7 2 0 0 0 0 0 0
1644626428 12 7 2 0 0 0 0 0 0
1644627543 12 7 3 0 0 0 0 0 0
1644627633 13 7 3 0 0 0 0 0 0
1644878376 13 8 3 0 0 0 0 0 0
1645226431 14 8 3 0 0 0 0 0 0
1645227408 14 8 4 0 0 0 0 0 0
1646333748 15 8 4 0 0 0 0 0 0
1647804107 15 9 4 0 0 0 0 0 0
1647887534 15 9 5 0 0 0 0 0 0
1650042049 15 10 5 0 0 0 0 0 0
1652991187 16 10 5 0 0 0 0 0 0
1653772206 16 10 5 0 0 1 0 0 0
1654648934 17 10 5 0 0 1 0 0 0
1654649581 17 10 5 0 1 1 0 0 0
1658938235 18 10 5 0 1 1 0 0 0
1658938934 18 10 6 0 1 1 0 0 0
1667337153 18 10 6 1 1 1 0 0 0
1667338593 18 10 6 1 1 1 0 0 1
1667339092 19 10 6 1 1 1 0 0 1
1667339466 20 10 6 1 1 1 0 0 1
1667339757 21 10 6 1 1 1 0 0 1
1667340110 22 10 6 1 1 1 0 0 1
1667340783 22 10 7 1 1 1 0 0 1
1673373121 23 10 7 1 1 1 0 0 1
1673373452 24 10 7 1 1 1 0 0 1
1673374019 24 10 8 1 1 1 0 0 1
1673638270 25 10 8 1 1 1 0 0 1
1673643948 26 10 8 1 1 1 0 0 1
1673647010 27 10 8 1 1 1 0 0 1
1673975972 28 10 8 1 1 1 0 0 1
1673977029 28 10 9 1 1 1 0 0 1
1673977870 29 10 9 1 1 1 0 0 1
1674061143 30 10 9 1 1 1 0 0 1
1674109171 31 10 9 1 1 1 0 0 1
1680213357 31 10 9 2 1 1 0 0 1
1680274104 31 10 9 2 1 1 0 1 1
1680632421 31 11 9 2 1 1 0 1 1
1680633910 32 11 9 2 1 1 0 1 1
1680634303 32 12 9 2 1 1 0 1 1
1680634983 33 12 9 2 1 1 0 1 1
1680636591 33 12 10 2 1 1 0 1 1
1680638655 33 13 10 2 1 1 0 1 1
1680644094 33 14 10 2 1 1 0 1 1
1689265985 33 14 10 2 1 1 1 1 1
1689276809 34 14 10 2 1 1 1 1 1
1689277079 35 14 10 2 1 1 1 1 1
1689277912 36 14 10 2 1 1 1 1 1
1689278189 36 14 11 2 1 1 1 1 1
