1567290567 1 0 0 0 0 0
1567292481 2 0 0 0 0 0
1567292564 3 0 0 0 0 0
1567292743 4 0 0 0 0 0
1567292792 5 0 0 0 0 0
1595569487 5 0 0 1 0 0
1595569907 5 0 0 2 0 0
1595634557 6 0 0 2 0 0
1595635798 7 0 0 2 0 0
1600491488 7 1 0 2 0 0
1600705834 8 1 0 2 0 0
1600838239 8 2 0 2 0 0
1600840235 8 3 0 2 0 0
1600841289 8 4 0 2 0 0
1600885366 9 4 0 2 0 0
1600912344 10 4 0 2 0 0
1600933473 10 5 0 2 0 0
1600934440 10 6 0 2 0 0
1605417842 10 7 0 2 0 0
1606072749 10 8 0 2 0 0
1606173264 11 8 0 2 0 0
1606175270 12 8 0 2 0 0
1606184579 13 8 0 2 0 0
1606184760 14 8 0 2 0 0
1606184934 15 8 0 2 0 0
1606257792 16 8 0 2 0 0
1606258392 17 8 0 2 0 0
1643138034 18 8 0 2 0 0
1643141775 19 8 0 2 0 0
1645668235 19 8 0 2 1 0
1654300063 20 8 0 2 1 0
1654932572 21 8 0 2 1 0
1654984276 22 8 0 2 1 0
1655002290 23 8 0 2 1 0
1658084654 23 8 1 2 1 0
1658087364 23 8 2 2 1 0
1658089226 23 8 3 2 1 0
1658089856 24 8 3 2 1 0
1658703359 25 8 3 2 1 0
1658820136 26 8 3 2 1 0
1662518753 26 8 3 2 1 1
1662692731 27 8 3 2 1 1
