1618785106 1 0
1618875911 2 0
1619031612 3 0
1619213516 4 0
1619266660 5 0
1619713051 6 0
1620670026 7 0
1620843670 8 0
1621352226 9 0
1621600238 10 0
1622146000 11 0
1624229933 12 0
1625142561 13 0
1625228337 14 0
1626362210 15 0
1629892981 16 0
1631735736 17 0
1632842379 18 0
1634156939 19 0
1636727647 20 0
1643811122 21 0
1643811693 22 0
1643813062 23 0
1643900421 24 0
1648212383 25 0
1648647620 26 0
1648647770 27 0
1649078106 28 0
1653242524 29 0
1653242818 30 0
1653330611 31 0
1659273670 32 0
1659361989 33 0
1659532814 34 0
1659535638 35 0
1659536856 36 0
1672165992 37 0
1673307649 38 0
1673446678 39 0
1673567486 40 0
1674060888 41 0
1674153509 42 0
1674771587 43 0
1675448862 44 0
1675699644 46 0
1675702209 47 0
1676587901 48 0
1676641862 49 0
1676645814 50 0
1678127120 51 0
1678967497 52 0
1678967720 53 0
1680702490 53 1
1680784283 54 1
1680793410 55 1
1680811343 56 1
1681137445 57 1
1681229443 58 1
1683497362 60 1
1683651669 61 1
1683720425 62 1
1683731522 63 1
1683826238 64 1
1683892963 65 1
1687266501 66 1
1687267033 67 1
1687279000 68 1
1688130470 69 1
