1568111174 1 0 0 0 0
1571195448 2 0 0 0 0
1571198445 3 0 0 0 0
1571203104 4 0 0 0 0
1573008010 6 0 0 0 0
1573029286 7 0 0 0 0
1573126627 8 0 0 0 0
1573529721 9 0 0 0 0
1573613614 10 0 0 0 0
1573967342 11 0 0 0 0
1573970336 12 0 0 0 0
1574128863 13 0 0 0 0
1577439554 14 0 0 0 0
1577441003 15 0 0 0 0
1578302210 16 0 0 0 0
1578369759 17 0 0 0 0
1578372255 18 0 0 0 0
1578373102 19 0 0 0 0
1578373273 20 0 0 0 0
1579755121 21 0 0 0 0
1579763246 22 0 0 0 0
1581125970 23 0 0 0 0
1583793466 23 1 0 0 0
1583921890 23 2 0 0 0
1585166424 23 3 0 0 0
1585619991 23 4 0 0 0
1585690454 23 5 0 0 0
1585705887 23 6 0 0 0
1586159753 23 6 1 0 0
1586408540 24 6 1 0 0
1587436182 25 6 1 0 0
1588012357 25 7 1 0 0
1588143805 25 8 1 0 0
1588223816 25 9 1 0 0
1588969979 25 10 1 0 0
1589404454 25 11 1 0 0
1589577256 25 11 1 0 1
1590033120 25 12 1 0 1
1590714029 26 12 1 0 1
1591961693 27 12 1 0 1
1594954404 28 12 1 0 1
1595306278 29 12 1 0 1
1595311525 30 12 1 0 1
1596177447 31 12 1 0 1
1596803025 32 12 1 0 1
1596854006 33 12 1 0 1
1597995389 34 12 1 0 1
1601947837 36 12 1 0 1
1602636080 37 12 1 0 1
1602638905 38 12 1 0 1
1604889867 39 12 1 0 1
1604890331 40 12 1 0 1
1611289240 40 12 1 1 1
1612359560 40 13 1 1 1
