1642278517 1 0 0 0
1642278527 2 0 0 0
1642278540 20 0 0 0
1642278580 71 0 0 0
1642278592 91 0 0 0
1642279493 223 0 0 0
1642279523 234 0 0 0
1642279581 369 0 0 0
1642486987 388 0 0 0
1642487905 558 0 0 0
1642488522 586 0 0 0
1642489183 738 0 0 0
1642546357 738 0 0 0
1642546778 739 0 0 0
1642547791 739 0 0 0
1642548001 760 0 0 0
1642549287 780 0 0 0
1643590158 782 0 0 0
1644623467 784 0 0 0
1652990362 787 0 0 0
1652990722 797 0 0 0
1653007282 799 0 0 0
1660242686 801 0 0 0
1662597941 801 0 2 0
1662651794 801 0 2 1
1663777631 803 0 2 1
1665770570 805 0 2 1
1665948173 805 1 2 1
1667848156 855 1 2 1
1669666923 856 1 2 1
1669761861 858 1 2 1
1670608684 860 1 2 1
1671056361 862 1 2 1
1671758906 864 1 2 1
1673569778 867 1 2 1
1673569935 907 1 2 1
1673570772 908 1 2 1
1673570815 909 1 2 1
1673571886 912 1 2 1
1673574352 913 1 2 1
1673627228 943 1 2 1
1673811740 944 1 2 1
1673971220 955 1 2 1
1678808034 972 1 2 1
1680802277 974 1 2 1
1686266676 977 1 2 1
1686268296 979 1 2 1
